Time,Reading
1746.871948,-1980862
1747.472046,-1981077
1748.072021,-1988918
1748.671997,-1980547
1749.271973,-1982685
1749.871948,-1980724
1750.472046,-1982636
1751.072021,-1987347
1751.671997,-1987607
1752.271973,-1979970
1752.871948,-1978174
1753.472046,-1980410
1754.072021,-1991973
1754.671997,-1985788
1755.271973,-1982887
1755.871948,-1984110
1756.472046,-1977953
1757.072021,-1984385
1757.671997,-1984010
1758.271973,-1983852
1758.871948,-1974501
1759.472046,-1983876
1760.072021,-1980300
1760.671997,-1984656
1761.271973,-1981565
1761.871948,-1977077
1762.472046,-1977210
1763.072021,-1979863
1763.671997,-1980913
1764.271973,-1985499
1764.871948,-1980454
1765.472046,-1980710
1766.072021,-1987443
1766.671997,-1982538
1767.271973,-1980117
1767.871948,-1984064
1768.472046,-1983939
1769.072021,-1983724
1769.671997,-1979520
1770.271973,-1986013
1770.871948,-1980503
1771.472046,-1983125
1772.072021,-1988538
1772.671997,-1986511
1773.271973,-1981108
1773.871948,-1981464
1774.472046,-1986717
1775.072021,-1986164
1775.671997,-1980290
1776.271973,-1977698
1776.871948,-1982889
1777.472046,-1985051
1778.072021,-1982754
1778.671997,-1987486
1779.271973,-1992523
1779.871948,-1981938
1780.472046,-1984297
1781.072021,-1985598
1781.671997,-1988401
1782.271973,-1989513
1782.871948,-1989525
1783.472046,-1984492
1784.072021,-1983258
1784.671997,-1983206
1785.271973,-1980058
1785.871948,-1982152
1786.472046,-1991839
1787.072021,-1987907
1787.671997,-1990265
1788.271973,-1983352
1788.871948,-1985379
1789.472046,-1989583
1790.072021,-1981656
1790.671997,-1982171
1791.271973,-1986604
1791.871948,-1988229
1792.472046,-1988690
1793.072021,-1978867
1793.671997,-1994087
1794.271973,-1986478
1794.871948,-1991158
1795.472046,-1991917
1796.072021,-1989768
1796.671997,-1992779
1797.271973,-1980468
1797.871948,-1986693
1798.472046,-1984729
1799.072021,-1985174
1799.671997,-1988893
1800.271973,-1980994
1800.871948,-1984606
1801.472046,-1989413
1802.072021,-1987441
1802.671997,-1990950
1803.271973,-1980053
1803.871948,-1990183
1804.472046,-1982482
1805.072021,-1983739
1805.671997,-1981707
1806.271973,-1990120
1806.871948,-1982221
1807.472046,-1981921
1808.072021,-1985387
1808.671997,-1988180
1809.271973,-1983967
1809.871948,-1989609
1810.472046,-1986941
1811.072021,-1992750
1811.671997,-1986294
1812.271973,-1980491
1812.871948,-1985454
1813.472046,-1990646
1814.072021,-1986441
1814.671997,-1987660
1815.271973,-1987692
1815.871948,-1984538
1816.472046,-1984868
1817.072021,-1982287
1817.671997,-1986110
1818.271973,-1983655
1818.871948,-1989143
1819.472046,-1989674
1820.072021,-1986727
1820.671997,-1984248
1821.271973,-1987980
1821.871948,-1985678
1822.472046,-1989023
1823.072021,-1984982
1823.671997,-1982981
1824.271973,-1981811
1824.871948,-1984327
1825.472046,-1984332
1826.072021,-1989315
1826.671997,-1986874
1827.271973,-1989178
1827.871948,-1987955
1828.472046,-1989440
1829.072021,-1990309
1829.671997,-1984956
1830.271973,-1986489
1830.871948,-1983643
1831.472046,-1986965
1832.072021,-1992020
1832.671997,-1989895
1833.271973,-1984317
1833.871948,-1987212
1834.472046,-1988308
1835.072021,-1981607
1835.671997,-1986111
1836.271973,-1987601
1836.871948,-1990905
1837.472046,-1987655
1838.072021,-1989093
1838.671997,-1987083
1839.271973,-1991269
1839.871948,-1989450
1840.472046,-1989865
1841.072021,-1987883
1841.671997,-1989338
1842.271973,-1987266
1842.871948,-1985932
1843.472046,-1988250
1844.072021,-1986643
1844.671997,-1991073
1845.271973,-1990656
1845.871948,-1983609
1846.472046,-1986886
1847.072021,-1992037
1847.671997,-1989326
1848.271973,-1988060
1848.871948,-1987145
1849.472046,-1988172
1850.072021,-1987302
1850.671997,-1987930
1851.271973,-1985719
1851.871948,-1985212
1852.472046,-1984171
1853.072021,-1986743
1853.671997,-1986681
1854.271973,-1985627
1854.871948,-1989446
1855.472046,-1988443
1856.072021,-1991258
1856.671997,-1989831
1857.271973,-1989305
1857.871948,-1992682
1858.472046,-1988340
1859.072021,-1988960
1859.671997,-1990776
1860.271973,-1991424
1860.871948,-1991611
1861.472046,-1990709
1862.072021,-1989106
1862.671997,-1990124
1863.271973,-1989666
1863.871948,-1989519
1864.472046,-1989351
1865.072021,-1989605
1865.671997,-1989657
1866.271973,-1989526
1866.871948,-1989838
1867.472046,-1989666
1868.072021,-1989208
1868.671997,-1989342
1869.271973,-1989311
1869.871948,-1989153
1870.472046,-1989184
1871.072021,-1989520
1871.671997,-1989752
1872.271973,-1989562
1872.871948,-1990636
1873.472046,-1990011
1874.072021,-1989584
1874.671997,-1992298
1875.271973,-1994346
1875.871948,-1988631
1876.472046,-1989362
1877.072021,-1992625
1877.671997,-1989880
1878.271973,-1988608
1878.871948,-1991818
1879.472046,-1990190
1880.072021,-1988729
1880.671997,-1992800
1881.271973,-1989399
1881.871948,-1989031
1882.472046,-1983165
1883.072021,-1992202
1883.671997,-1985060
1884.271973,-1998248
1884.871948,-1997686
1885.472046,-1992037
1886.072021,-1984113
1886.671997,-1990187
1887.271973,-1992514
1887.871948,-1991969
1888.472046,-1987328
1889.072021,-1987122
1889.671997,-1991946
1890.271973,-1988808
1890.871948,-1988460
1891.472046,-1991988
1892.072021,-1996210
1892.671997,-1997260
1893.271973,-1989620
1893.871948,-1994171
1894.472046,-1991427
1895.072021,-1987676
1895.671997,-1992650
1896.271973,-1994306
1896.871948,-1993059
1897.472046,-1998395
1898.072021,-1997775
1898.671997,-1996543
1899.271973,-2000011
1899.871948,-1992577
1900.472046,-1996758
1901.072021,-1992420
1901.671997,-1995990
1902.271973,-1994721
1902.871948,-1992531
1903.472046,-1993081
1904.072021,-1992133
1904.671997,-1993243
1905.271973,-1990153
1905.871948,-1988633
1906.472046,-1982705
1907.072021,-1996295
1907.671997,-1985234
1908.271973,-1994433
1908.871948,-1996641
1909.472046,-1993535
1910.072021,-1997616
1910.671997,-1989196
1911.271973,-1990826
1911.871948,-1992758
1912.472046,-1991579
1913.072021,-1991802
1913.671997,-1993854
1914.271973,-1992998
1914.871948,-1988119
1915.472046,-1991250
1916.072021,-1991444
1916.671997,-1993353
1917.271973,-1992214
1917.871948,-1992937
1918.472046,-1995205
1919.072021,-1996683
1919.671997,-1994480
1920.271973,-1989265
1920.871948,-1992808
1921.472046,-1989935
1922.072021,-1991397
1922.671997,-1991486
1923.271973,-1993247
1923.871948,-1991710
1924.472046,-1989149
1925.072021,-1993234
1925.671997,-1993961
1926.271973,-1992728
1926.871948,-1992192
1927.472046,-1992420
1928.072021,-1994220
1928.671997,-1990861
1929.271973,-1993947
1929.871948,-1992624
1930.472046,-1995961
1931.072021,-1993283
1931.671997,-1993647
1932.271973,-1994403
1932.871948,-1991111
1933.472046,-1991921
1934.072021,-1993077
1934.671997,-1990878
1935.271973,-1991804
1935.871948,-1986310
1936.472046,-1994213
1937.072021,-1992902
1937.671997,-1997519
1938.271973,-1991609
1938.871948,-1992695
1939.472046,-1991734
1940.072021,-1990564
1940.671997,-1993730
1941.271973,-1991735
1941.871948,-1990591
1942.472046,-1992987
1943.072021,-1994143
1943.671997,-1991161
1944.271973,-1994985
1944.871948,-1996767
1945.472046,-1994936
1946.072021,-1993347
1946.671997,-1995547
1947.271973,-1991090
1947.871948,-1993943
1948.472046,-1998210
1949.072021,-1992105
1949.671997,-1997290
1950.271973,-1995512
1950.871948,-1993850
1951.472046,-1996588
1952.072021,-1994079
1952.671997,-1994935
1953.271973,-1993392
1953.871948,-1991512
1954.472046,-1993516
1955.072021,-1991410
1955.671997,-1992126
1956.271973,-1995107
1956.871948,-1988469
1957.472046,-1989646
1958.072021,-1984313
1958.671997,-1987174
1959.271973,-1986625
1959.871948,-1985765
1960.472046,-1993961
1961.072021,-1994373
1961.671997,-1988407
1962.271973,-1985206
1962.871948,-1982268
1963.472046,-1983785
1964.072021,-1987986
1964.671997,-1991608
1965.271973,-1993484
1965.871948,-1983946
1966.472046,-1985253
1967.072021,-1996758
1967.671997,-1993424
1968.271973,-1992940
1968.871948,-1987283
1969.472046,-1988304
1970.072021,-1998702
1970.671997,-1989251
1971.271973,-1985956
1971.871948,-1990066
1972.472046,-1995980
1973.072021,-1991763
1973.671997,-1995056
1974.271973,-1991480
1974.871948,-1990910
1975.472046,-1993513
1976.072021,-1992245
1976.671997,-1994584
1977.271973,-1992616
1977.871948,-1991665
1978.472046,-1996381
1979.072021,-1998161
1979.671997,-1995175
1980.271973,-1994010
1980.871948,-1996313
1981.472046,-1995237
1982.072021,-1992740
1982.671997,-1991617
1983.271973,-1998145
1983.871948,-1991404
1984.472046,-1996227
1985.072021,-1995563
1985.671997,-1997755
1986.271973,-1995407
1986.871948,-1994046
1987.472046,-1997239
1988.072021,-1996291
1988.671997,-1996121
1989.271973,-1996479
1989.871948,-1997538
1990.472046,-1997749
1991.072021,-1996577
1991.671997,-1996857
1992.271973,-1993297
1992.871948,-1996681
1993.472046,-1994732
1994.072021,-1992778
1994.671997,-1991613
1995.271973,-1989945
1995.871948,-1996350
1996.472046,-1994331
1997.072021,-1999372
1997.671997,-1997662
1998.271973,-1987205
1998.871948,-1994207
1999.472046,-1997705
2000.072021,-1990798
2000.671997,-1993798
2001.271973,-1990877
2001.871948,-1986077
2002.472046,-1993683
2003.072021,-1994731
2003.671997,-1993436
2004.271973,-1992864
2004.871948,-1992372
2005.472046,-1990846
2006.072021,-1989186
2006.671997,-1994479
2007.271973,-1986920
2007.871948,-1998252
2008.472046,-1989329
2009.072021,-1980101
