Time,State,Pump 1 Voltage,Pump 2 Voltage
1747.072021,Idle,0,0
1747.671997,Idle,0,0
1748.271973,Idle,0,0
1748.871948,Idle,0,0
1749.472046,Idle,0,0
1750.072021,Idle,0,0
1750.671997,Idle,0,0
1751.271973,Idle,0,0
1751.871948,Idle,0,0
1752.472046,Idle,0,0
1753.072021,Idle,0,0
1753.671997,Idle,0,0
1754.271973,Idle,0,0
1754.871948,Idle,0,0
1755.472046,Idle,0,0
1756.072021,Idle,0,0
1756.671997,Idle,0,0
1757.271973,Idle,0,0
1757.871948,Idle,0,0
1758.472046,Idle,0,0
1759.072021,Idle,0,0
1759.671997,Idle,0,0
1760.271973,Idle,0,0
1760.871948,Idle,0,0
1761.472046,Idle,0,0
1762.072021,Idle,0,0
1762.671997,Idle,0,0
1763.271973,Idle,0,0
1763.871948,Idle,0,0
1764.472046,Idle,0,0
1765.072021,Idle,0,0
1765.671997,Idle,0,0
1766.271973,Idle,0,0
1766.871948,Idle,0,0
1767.472046,Idle,0,0
1768.072021,Idle,0,0
1768.671997,Idle,0,0
1769.271973,Idle,0,0
1769.871948,Idle,0,0
1770.472046,Idle,0,0
1771.072021,Idle,0,0
1771.671997,Idle,0,0
1772.271973,Idle,0,0
1772.871948,Idle,0,0
1773.472046,Idle,0,0
1774.072021,Idle,0,0
1774.671997,Idle,0,0
1775.271973,Idle,0,0
1775.871948,Idle,0,0
1776.472046,Idle,0,0
1777.072021,Idle,0,0
1777.671997,Idle,0,0
1778.271973,Idle,0,0
1778.871948,Idle,0,0
1779.472046,Idle,0,0
1780.072021,Idle,0,0
1780.671997,Idle,0,0
1781.271973,Idle,0,0
1781.871948,Idle,0,0
1782.472046,Idle,0,0
1783.072021,Idle,0,0
1783.671997,Idle,0,0
1784.271973,Idle,0,0
1784.871948,Idle,0,0
1785.472046,Idle,0,0
1786.072021,Idle,0,0
1786.671997,Idle,0,0
1787.271973,Idle,0,0
1787.871948,Idle,0,0
1788.472046,Idle,0,0
1789.072021,Idle,0,0
1789.671997,Idle,0,0
1790.271973,Idle,0,0
1790.871948,Idle,0,0
1791.472046,Idle,0,0
1792.072021,Idle,0,0
1792.671997,Idle,0,0
1793.271973,Idle,0,0
1793.871948,Idle,0,0
1794.472046,Idle,0,0
