Time,Reading
1746.871948,-1329617
1747.472046,-1332490
1748.072021,-1335873
1748.671997,-1328325
1749.271973,-1330658
1749.871948,-1331150
1750.472046,-1328324
1751.072021,-1333429
1751.671997,-1334752
1752.271973,-1326621
1752.871948,-1323213
1753.472046,-1332146
1754.072021,-1338175
1754.671997,-1333578
1755.271973,-1329463
1755.871948,-1330472
1756.472046,-1324948
1757.072021,-1331607
1757.671997,-1331477
1758.271973,-1329004
1758.871948,-1333418
1759.472046,-1332641
1760.072021,-1328544
1760.671997,-1330677
1761.271973,-1326960
1761.871948,-1328423
1762.472046,-1327796
1763.072021,-1329898
1763.671997,-1334333
1764.271973,-1336155
1764.871948,-1330745
1765.472046,-1329684
1766.072021,-1337153
1766.671997,-1323104
1767.271973,-1332618
1767.871948,-1335041
1768.472046,-1334369
1769.072021,-1336492
1769.671997,-1327257
1770.271973,-1335001
1770.871948,-1327962
1771.472046,-1331116
1772.072021,-1334111
1772.671997,-1331494
1773.271973,-1330935
1773.871948,-1329833
1774.472046,-1334128
1775.072021,-1331712
1775.671997,-1327656
1776.271973,-1323907
1776.871948,-1330023
1777.472046,-1336815
1778.072021,-1329475
1778.671997,-1331874
1779.271973,-1336593
1779.871948,-1325248
1780.472046,-1327801
1781.072021,-1331270
1781.671997,-1332282
1782.271973,-1334210
1782.871948,-1328821
1783.472046,-1328707
1784.072021,-1326949
1784.671997,-1325617
1785.271973,-1322045
1785.871948,-1330230
1786.472046,-1334001
1787.072021,-1330006
1787.671997,-1332900
1788.271973,-1326806
1788.871948,-1329771
1789.472046,-1333597
1790.072021,-1325221
1790.671997,-1326380
1791.271973,-1329297
1791.871948,-1336260
1792.472046,-1331389
1793.072021,-1323260
1793.671997,-1331820
1794.271973,-1326919
1794.871948,-1333792
1795.472046,-1348222
1796.072021,-1345996
1796.671997,-1351388
1797.271973,-1337414
1797.871948,-1344707
1798.472046,-1343026
1799.072021,-1340709
1799.671997,-1343971
1800.271973,-1336434
1800.871948,-1340620
1801.472046,-1348541
1802.072021,-1341454
1802.671997,-1349494
1803.271973,-1338921
1803.871948,-1345051
1804.472046,-1342570
1805.072021,-1341593
1805.671997,-1338112
1806.271973,-1344818
1806.871948,-1337574
1807.472046,-1344548
1808.072021,-1341938
1808.671997,-1344456
1809.271973,-1339646
1809.871948,-1344541
1810.472046,-1338675
1811.072021,-1344708
1811.671997,-1341303
1812.271973,-1334369
1812.871948,-1342574
1813.472046,-1345954
1814.072021,-1341230
1814.671997,-1342774
1815.271973,-1342277
1815.871948,-1336415
1816.472046,-1339949
1817.072021,-1339009
1817.671997,-1340547
1818.271973,-1337818
1818.871948,-1341380
1819.472046,-1341334
1820.072021,-1340044
1820.671997,-1337567
1821.271973,-1341813
1821.871948,-1337188
1822.472046,-1343894
1823.072021,-1337376
1823.671997,-1333535
1824.271973,-1333888
1824.871948,-1334982
1825.472046,-1336764
1826.072021,-1340354
1826.671997,-1333678
1827.271973,-1340313
1827.871948,-1339935
1828.472046,-1339469
1829.072021,-1341402
1829.671997,-1334958
1830.271973,-1337267
1830.871948,-1334048
1831.472046,-1337025
1832.072021,-1338498
1832.671997,-1340867
1833.271973,-1334972
1833.871948,-1337142
1834.472046,-1340076
1835.072021,-1335569
1835.671997,-1336312
1836.271973,-1337733
1836.871948,-1340450
1837.472046,-1337941
1838.072021,-1337842
1838.671997,-1337201
1839.271973,-1341112
1839.871948,-1337542
1840.472046,-1341004
1841.072021,-1331511
1841.671997,-1337612
1842.271973,-1337196
1842.871948,-1334749
1843.472046,-1338057
1844.072021,-1335189
1844.671997,-1339944
1845.271973,-1338382
1845.871948,-1327537
1846.472046,-1336280
1847.072021,-1340026
1847.671997,-1339198
1848.271973,-1336994
1848.871948,-1337246
1849.472046,-1338088
1850.072021,-1336844
1850.671997,-1338413
1851.271973,-1333567
1851.871948,-1333220
1852.472046,-1331765
1853.072021,-1333247
1853.671997,-1336071
1854.271973,-1335953
1854.871948,-1338394
1855.472046,-1338104
1856.072021,-1337932
1856.671997,-1335326
1857.271973,-1337249
1857.871948,-1340300
1858.472046,-1335893
1859.072021,-1336344
1859.671997,-1339539
1860.271973,-1341413
1860.871948,-1337166
1861.472046,-1336009
1862.072021,-1334894
1862.671997,-1337400
1863.271973,-1337057
1863.871948,-1336818
1864.472046,-1336757
1865.072021,-1336777
1865.671997,-1336639
1866.271973,-1336584
1866.871948,-1336676
1867.472046,-1336544
1868.072021,-1335856
1868.671997,-1336399
1869.271973,-1336480
1869.871948,-1336074
1870.472046,-1335979
1871.072021,-1336240
1871.671997,-1336577
1872.271973,-1336081
1872.871948,-1336917
1873.472046,-1336893
1874.072021,-1335477
1874.671997,-1338347
1875.271973,-1341780
1875.871948,-1338744
1876.472046,-1336343
1877.072021,-1339552
1877.671997,-1336292
1878.271973,-1335353
1878.871948,-1337331
1879.472046,-1334181
1880.072021,-1337803
1880.671997,-1338439
1881.271973,-1340205
1881.871948,-1331980
1882.472046,-1329088
1883.072021,-1338691
1883.671997,-1331178
1884.271973,-1340963
1884.871948,-1338089
1885.472046,-1337793
1886.072021,-1330575
1886.671997,-1333886
1887.271973,-1338230
1887.871948,-1336319
1888.472046,-1331904
1889.072021,-1332519
1889.671997,-1334192
1890.271973,-1332849
1890.871948,-1333976
1891.472046,-1336009
1892.072021,-1341123
1892.671997,-1340661
1893.271973,-1333325
1893.871948,-1336154
1894.472046,-1332992
1895.072021,-1331770
1895.671997,-1334447
1896.271973,-1335479
1896.871948,-1333249
1897.472046,-1338167
1898.072021,-1336126
1898.671997,-1333898
1899.271973,-1337259
1899.871948,-1331322
1900.472046,-1334434
1901.072021,-1328604
1901.671997,-1333761
1902.271973,-1332101
1902.871948,-1330799
1903.472046,-1327155
1904.072021,-1331138
1904.671997,-1331057
1905.271973,-1329313
1905.871948,-1332590
1906.472046,-1324552
1907.072021,-1335353
1907.671997,-1323130
1908.271973,-1333013
1908.871948,-1333738
1909.472046,-1331873
1910.072021,-1337609
1910.671997,-1330046
1911.271973,-1329086
1911.871948,-1331615
1912.472046,-1331424
1913.072021,-1332627
1913.671997,-1333420
1914.271973,-1331846
1914.871948,-1327864
1915.472046,-1330328
1916.072021,-1330749
1916.671997,-1330646
1917.271973,-1334725
1917.871948,-1336331
1918.472046,-1333676
1919.072021,-1337972
1919.671997,-1334484
1920.271973,-1330660
1920.871948,-1333895
1921.472046,-1330395
1922.072021,-1331615
1922.671997,-1331365
1923.271973,-1329601
1923.871948,-1329742
1924.472046,-1329000
1925.072021,-1330878
1925.671997,-1334515
1926.271973,-1334765
1926.871948,-1334468
1927.472046,-1334236
1928.072021,-1334110
1928.671997,-1334791
1929.271973,-1335959
1929.871948,-1331061
1930.472046,-1335808
1931.072021,-1335102
1931.671997,-1334360
1932.271973,-1335980
1932.871948,-1333060
1933.472046,-1332568
1934.072021,-1334096
1934.671997,-1333870
1935.271973,-1332805
1935.871948,-1327862
1936.472046,-1337712
1937.072021,-1333629
1937.671997,-1337924
1938.271973,-1330715
1938.871948,-1331595
1939.472046,-1333157
1940.072021,-1331637
1940.671997,-1333913
1941.271973,-1333248
1941.871948,-1332445
1942.472046,-1333753
1943.072021,-1335795
1943.671997,-1331383
1944.271973,-1333317
1944.871948,-1336949
1945.472046,-1334832
1946.072021,-1333510
1946.671997,-1335637
1947.271973,-1332696
1947.871948,-1338223
1948.472046,-1335044
1949.072021,-1329655
1949.671997,-1331225
1950.271973,-1337268
1950.871948,-1333391
1951.472046,-1336374
1952.072021,-1333644
1952.671997,-1330521
1953.271973,-1333924
1953.871948,-1331664
1954.472046,-1334393
1955.072021,-1330630
1955.671997,-1330800
1956.271973,-1333305
1956.871948,-1329688
1957.472046,-1332118
1958.072021,-1332439
1958.671997,-1331324
1959.271973,-1330351
1959.871948,-1330273
1960.472046,-1338960
1961.072021,-1339300
1961.671997,-1331199
1962.271973,-1330990
1962.871948,-1330942
1963.472046,-1330003
1964.072021,-1335674
1964.671997,-1337979
1965.271973,-1340291
1965.871948,-1329983
1966.472046,-1332468
1967.072021,-1344159
1967.671997,-1336254
1968.271973,-1339228
1968.871948,-1332589
1969.472046,-1333962
1970.072021,-1342436
1970.671997,-1332030
1971.271973,-1328933
1971.871948,-1338420
1972.472046,-1335552
1973.072021,-1331654
1973.671997,-1335920
1974.271973,-1331855
1974.871948,-1330358
1975.472046,-1334395
1976.072021,-1331620
1976.671997,-1333552
1977.271973,-1334528
1977.871948,-1330212
1978.472046,-1333740
1979.072021,-1333569
1979.671997,-1333747
1980.271973,-1331598
1980.871948,-1333610
1981.472046,-1332003
1982.072021,-1329322
1982.671997,-1328952
1983.271973,-1334686
1983.871948,-1329517
1984.472046,-1331766
1985.072021,-1330669
1985.671997,-1333685
1986.271973,-1333318
1986.871948,-1331259
1987.472046,-1333611
1988.072021,-1332583
1988.671997,-1332295
1989.271973,-1333927
1989.871948,-1334337
1990.472046,-1334450
1991.072021,-1329673
1991.671997,-1330020
1992.271973,-1330696
1992.871948,-1332259
1993.472046,-1334842
1994.072021,-1329815
1994.671997,-1330268
1995.271973,-1328187
1995.871948,-1335056
1996.472046,-1331728
1997.072021,-1331997
1997.671997,-1336890
1998.271973,-1329291
1998.871948,-1330313
1999.472046,-1336326
2000.072021,-1331344
2000.671997,-1332814
2001.271973,-1329629
2001.871948,-1332587
2002.472046,-1334573
2003.072021,-1336478
2003.671997,-1336418
2004.271973,-1336634
2004.871948,-1333731
2005.472046,-1335173
2006.072021,-1334172
2006.671997,-1338188
2007.271973,-1329070
2007.871948,-1340160
2008.472046,-1330590
2009.072021,-1321033
2009.671997,-1335087
2010.271973,-1342800
2010.871948,-1338182
2011.472046,-1338162
2012.072021,-1332020
2012.671997,-1334657
2013.271973,-1333688
2013.871948,-1333131
2014.472046,-1338898
2015.072021,-1330736
2015.671997,-1332427
2016.271973,-1338895
2016.871948,-1335295
2017.472046,-1333104
2018.072021,-1338206
2018.671997,-1340096
2019.271973,-1333720
2019.871948,-1329936
2020.472046,-1335324
2021.072021,-1336694
2021.671997,-1334413
2022.271973,-1334349
2022.871948,-1332257
2023.472046,-1334459
2024.072021,-1334275
2024.671997,-1334606
2025.271973,-1334393
2025.871948,-1335406
2026.472046,-1334831
