Time,Reading
1746.871948,1682446
1747.472046,1681220
1748.072021,1675350
1748.671997,1683663
1749.271973,1681061
1749.871948,1681814
1750.472046,1680520
1751.072021,1676124
1751.671997,1674668
1752.271973,1680907
1752.871948,1685920
1753.472046,1681992
1754.072021,1670345
1754.671997,1675451
1755.271973,1679485
1755.871948,1678300
1756.472046,1682610
1757.072021,1676616
1757.671997,1673977
1758.271973,1677135
1758.871948,1680728
1759.472046,1676254
1760.072021,1677701
1760.671997,1679634
1761.271973,1679284
1761.871948,1678635
1762.472046,1678897
1763.072021,1676630
1763.671997,1673271
1764.271973,1672151
1764.871948,1674911
1765.472046,1676361
1766.072021,1671884
1766.671997,1682972
1767.271973,1676895
1767.871948,1673287
1768.472046,1675062
1769.072021,1671807
1769.671997,1680022
1770.271973,1675297
1770.871948,1679080
1771.472046,1676192
1772.072021,1673049
1772.671997,1674693
1773.271973,1680832
1773.871948,1679656
1774.472046,1674738
1775.072021,1679270
1775.671997,1680565
1776.271973,1678685
1776.871948,1680632
1777.472046,1676258
1778.072021,1679247
1778.671997,1676252
1779.271973,1670203
1779.871948,1682679
1780.472046,1677794
1781.072021,1676546
1781.671997,1673109
1782.271973,1672392
1782.871948,1671982
1783.472046,1684359
1784.072021,1679506
1784.671997,1679568
1785.271973,1682866
1785.871948,1679701
1786.472046,1671612
1787.072021,1673373
1787.671997,1672510
1788.271973,1678529
1788.871948,1675574
1789.472046,1672189
1790.072021,1677991
1790.671997,1678929
1791.271973,1675726
1791.871948,1669942
1792.472046,1674353
1793.072021,1678997
1793.671997,1670357
1794.271973,1675432
1794.871948,1673251
1795.472046,1677452
1796.072021,1683936
1796.671997,1677997
1797.271973,1688474
1797.871948,1684261
1798.472046,1686460
1799.072021,1686171
1799.671997,1684471
1800.271973,1692470
1800.871948,1687155
1801.472046,1696519
1802.072021,1685539
1802.671997,1681150
1803.271973,1692379
1803.871948,1684558
1804.472046,1689352
1805.072021,1687816
1805.671997,1690541
1806.271973,1683751
1806.871948,1688509
1807.472046,1685070
1808.072021,1685913
1808.671997,1686331
1809.271973,1688489
1809.871948,1685556
1810.472046,1687692
1811.072021,1680480
1811.671997,1687126
1812.271973,1689913
1812.871948,1688424
1813.472046,1683078
1814.072021,1687329
1814.671997,1685765
1815.271973,1686285
1815.871948,1690984
1816.472046,1688159
1817.072021,1689215
1817.671997,1686712
1818.271973,1689545
1818.871948,1687776
1819.472046,1684277
1820.072021,1688161
1820.671997,1688821
1821.271973,1686236
1821.871948,1688292
1822.472046,1683244
1823.072021,1688862
1823.671997,1692575
1824.271973,1691643
1824.871948,1689017
1825.472046,1688675
1826.072021,1685252
1826.671997,1689289
1827.271973,1685429
